ticker,anomaly,mean_excess_return_anomaly_days
FIRST SOLAR,is_thanksgiving,-0.0018895882776328735
FORTINET,is_thanksgiving,-0.005808169328288567
FREEPORT-MCMORAN,is_thanksgiving,-0.015028988515329144
GENERAC HOLDINGS,is_thanksgiving,-0.003931614683237971
HALLIBURTON,is_thanksgiving,-0.01674490487659391
LULULEMON ATHLETICA,is_thanksgiving,-0.0006654991083077914
MGM RESORTS INTL.,is_thanksgiving,0.0011236479828712342
MICRON TECHNOLOGY,is_thanksgiving,-0.0014779155775579643
MONOLITHIC PWR.SYS.,is_thanksgiving,0.0037797231455124996
NETFLIX,is_thanksgiving,-0.002283760176988681
NVIDIA,is_thanksgiving,-0.003130543587441655
NXP SEMICONDUCTORS,is_thanksgiving,0.0032868805339771063
OCCIDENTAL PTL.,is_thanksgiving,-0.013095382482830265
ON SEMICONDUCTOR,is_thanksgiving,0.0015021342355857762
PARAMOUNT SKYDANCE B,is_thanksgiving,0.006178950946879354
PG&E,is_thanksgiving,0.002141163461992912
ROYAL CARIBBEAN GROUP,is_thanksgiving,-0.0015672674688688086
SEAGATE TECHNOLOGY HOLDINGS,is_thanksgiving,0.0002636154047244525
SKYWORKS SOLUTIONS,is_thanksgiving,-0.002074128133131614
SUPER MICRO COMPUTER,is_thanksgiving,-0.0020379965309735553
TESLA,is_thanksgiving,0.0015689616469374132
TEXAS PACIFIC LAND TRUST,is_thanksgiving,-0.011568189764783843
UNITED AIRLINES HOLDINGS,is_thanksgiving,0.0040840636743614414
UNITED RENTALS,is_thanksgiving,-0.0055305708703829925
VERTEX PHARMS.,is_thanksgiving,0.0070786488168771795
WARNER BROS DISCOVERY SERIES A,is_thanksgiving,0.004108111800516919
WESTERN DIGITAL,is_thanksgiving,0.0008338279445837611
WYNN RESORTS,is_thanksgiving,-0.0021428350425279834
ADVANCED MICRO DEVICES,is_new_year,0.09015456206528305
ALBEMARLE,is_new_year,0.08989910436378301
ALIGN TECHNOLOGY,is_new_year,0.07608933815680573
APA,is_new_year,0.09436366507836326
AXON ENTERPRISE,is_new_year,0.07744824605547446
BUILDERS FIRSTSOURCE,is_new_year,0.08379301963060483
CARNIVAL,is_new_year,0.06956160761276574
DECKERS OUTDOOR,is_new_year,0.07508210030158882
DEVON ENERGY,is_new_year,0.08890062472438405
DEXCOM,is_new_year,0.07196922559888569
EQT,is_new_year,0.09101592966532747
EXPEDIA GROUP,is_new_year,0.07656009370796679
FIRST SOLAR,is_new_year,0.09870863718353107
FORTINET,is_new_year,0.0764458289888362
FREEPORT-MCMORAN,is_new_year,0.08717325345336623
GENERAC HOLDINGS,is_new_year,0.07420403436976018
HALLIBURTON,is_new_year,0.08860543967031337
LULULEMON ATHLETICA,is_new_year,0.08246357360221031
MGM RESORTS INTL.,is_new_year,0.08324405542411513
MICRON TECHNOLOGY,is_new_year,0.09303431417256537
MONOLITHIC PWR.SYS.,is_new_year,0.07070087373274642
NETFLIX,is_new_year,0.06924849932217367
NVIDIA,is_new_year,0.08351745076367376
NXP SEMICONDUCTORS,is_new_year,0.07952919240067412
OCCIDENTAL PTL.,is_new_year,0.0848962958146307
ON SEMICONDUCTOR,is_new_year,0.08143742324625283
PARAMOUNT SKYDANCE B,is_new_year,0.07953937923492141
PG&E,is_new_year,0.07258480194104062
ROYAL CARIBBEAN GROUP,is_new_year,0.068679214173718
SEAGATE TECHNOLOGY HOLDINGS,is_new_year,0.08066812615521818
SKYWORKS SOLUTIONS,is_new_year,0.08565370988110552
SUPER MICRO COMPUTER,is_new_year,0.0056086458455516415
TESLA,is_new_year,0.06907221817603298
TEXAS PACIFIC LAND TRUST,is_new_year,0.08552432602089838
UNITED AIRLINES HOLDINGS,is_new_year,0.07301175922780227
UNITED RENTALS,is_new_year,0.08144937878132089
VERTEX PHARMS.,is_new_year,0.08360467166980058
WARNER BROS DISCOVERY SERIES A,is_new_year,0.0880391163609726
WESTERN DIGITAL,is_new_year,0.08347355633629033
WYNN RESORTS,is_new_year,0.09174573886439026
ADVANCED MICRO DEVICES,is_first_day_quarter,0.02105303370732835
ALBEMARLE,is_first_day_quarter,0.02358564958417913
ALIGN TECHNOLOGY,is_first_day_quarter,0.01575641564192105
APA,is_first_day_quarter,0.02445824925440179
AXON ENTERPRISE,is_first_day_quarter,0.013488405540159329
BUILDERS FIRSTSOURCE,is_first_day_quarter,0.020534998745345555
